iter	RMSE
0	8.741963998
1	8.258130477
2	7.84977927
3	7.474502924
4	7.076793969
5	6.749921503
6	6.438817593
7	6.143704179
8	5.87359446
9	5.658548616
10	5.407573853
11	5.200000759
12	4.963320735
13	4.787177155
14	4.626257925
15	4.476169488
16	4.33235334
17	4.184191717
18	4.064148992
19	3.956087107
20	3.860054298
21	3.752436901
22	3.65047877
23	3.540412051
24	3.473315875
25	3.413080635
26	3.359808501
27	3.299287717
28	3.250558955
29	3.191757241
30	3.1413857
31	3.102252167
32	3.056504009
33	3.013699421
34	2.950263188
35	2.914752621
36	2.866997392
37	2.817908971
38	2.77962091
39	2.757847411
40	2.727609097
41	2.706700868
42	2.679997489
43	2.656886654
44	2.639746962
45	2.613996198
46	2.59200633
47	2.576296622
48	2.556974542
49	2.540225703
50	2.522475667
51	2.500966492
52	2.470164776
53	2.464352947
54	2.434712486
55	2.420187587
56	2.402045891
57	2.386543961
58	2.361976612
59	2.352696531
60	2.336923095
61	2.32948848
62	2.311322004
63	2.299651718
64	2.278444944
65	2.273745854
66	2.26110918
67	2.249014385
68	2.225886668
69	2.214236665
70	2.194627956
71	2.181692526
72	2.176767534
73	2.160309184
74	2.15492581
75	2.147506379
76	2.137272892
77	2.125386532
78	2.1166844
79	2.098650456
80	2.088305273
81	2.086107471
82	2.074329143
83	2.059541014
84	2.039326221
85	2.027393071
86	2.009736618
87	1.995670004
88	1.978127844
89	1.958191235
90	1.956667411
91	1.946231384
92	1.928274366
93	1.907594776
94	1.888907818
95	1.886802068
96	1.879183461
97	1.861181861
98	1.845309737
99	1.831145063
