iter	Passed	Remaining
0	139	13817
1	141	6931
2	143	4635
3	145	3484
4	147	2799
5	149	2340
6	151	2012
7	153	1765
8	155	1573
9	157	1418
10	159	1290
11	161	1184
12	163	1094
13	165	1017
14	167	949
15	169	890
16	171	837
17	173	790
18	175	747
19	177	709
20	179	674
21	181	642
22	183	613
23	185	587
24	187	561
25	189	538
26	191	516
27	192	496
28	194	477
29	196	458
30	198	442
31	200	426
32	202	411
33	204	396
34	206	382
35	208	369
36	210	357
37	212	345
38	213	334
39	215	323
40	217	313
41	219	303
42	221	293
43	223	284
44	225	275
45	227	266
46	229	258
47	230	250
48	232	242
49	234	234
50	236	227
51	238	220
52	240	213
53	242	206
54	244	200
55	246	193
56	248	187
57	250	181
58	252	175
59	254	169
60	256	163
61	258	158
62	260	152
63	262	147
64	264	142
65	265	137
66	267	131
67	269	126
68	271	122
69	274	117
70	276	112
71	278	108
72	280	103
73	282	99
74	284	94
75	286	90
76	288	86
77	290	81
78	291	77
79	293	73
80	295	69
81	297	65
82	299	61
83	301	57
84	303	53
85	305	49
86	306	45
87	308	42
88	310	38
89	312	34
90	314	31
91	316	27
92	318	23
93	320	20
94	322	16
95	323	13
96	325	10
97	327	6
98	329	3
99	331	0
